date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:53:44	58126/58126	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/biq-cannes-iza-listrado-01-900-x-1350_1024x1024.webp?v=1687982658	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/biq-cannes-iza-listrado-01-900-x-1350_1024x10244471.jpg	(from https://sunsecrets.no/products/cannes-bikini-striper)
14:53:46	59192/59192	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/biq-cannes-iza-listrado-02-900-x-1350.webp?v=1687982658	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/biq-cannes-iza-listrado-02-900-x-13504471.jpg	(from https://sunsecrets.no/products/cannes-bikini-striper)
14:53:46	59192/59192	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/biq-cannes-iza-listrado-02-900-x-1350_1024x1024.webp?v=1687982658	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/biq-cannes-iza-listrado-02-900-x-1350_1024x10244471.jpg	(from https://sunsecrets.no/products/cannes-bikini-striper)
14:53:46	63402/63402	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/biq-cannes-michele-listrado-01-900-x-1350.webp?v=1687982658	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/biq-cannes-michele-listrado-01-900-x-13504471.jpg	(from https://sunsecrets.no/products/cannes-bikini-striper)
14:53:48	63402/63402	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/biq-cannes-michele-listrado-01-900-x-1350_1024x1024.webp?v=1687982658	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/biq-cannes-michele-listrado-01-900-x-1350_1024x10244471.jpg	(from https://sunsecrets.no/products/cannes-bikini-striper)
14:53:48	49010/49010	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/biq-cannes-val-listrado-01-900-x-1350.webp?v=1687982658	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/biq-cannes-val-listrado-01-900-x-13504471.jpg	(from https://sunsecrets.no/products/cannes-bikini-striper)
14:53:48	104076/-1	---M--	200	added ('OK')	text/html	etag:W/%22cacheable:f379e30924ff5d4f1a077e12eaf6bfb2%22	https://sunsecrets.no/collections/rainbow-collection/products/rainbow-bikini-army-green	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/collections/rainbow-collection/products/rainbow-bikini-army-green.html	(from https://sunsecrets.no/)
14:53:48	49010/49010	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/biq-cannes-val-listrado-01-900-x-1350_1024x1024.webp?v=1687982658	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/biq-cannes-val-listrado-01-900-x-1350_1024x10244471.jpg	(from https://sunsecrets.no/products/cannes-bikini-striper)
14:53:49	0/-1	---M--	302	error ('')			https://sunsecrets.no/checkout	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/checkout.44d.delayed	(from https://sunsecrets.no/collections/rainbow-collection/products/rainbow-bikini-army-green)
14:53:50	54630/54630	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/biq-cannes-val-listrado-02-900-x-1350.webp?v=1687982658	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/biq-cannes-val-listrado-02-900-x-13504471.jpg	(from https://sunsecrets.no/products/cannes-bikini-striper)
14:53:50	54630/54630	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/biq-cannes-val-listrado-02-900-x-1350_1024x1024.webp?v=1687982658	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/biq-cannes-val-listrado-02-900-x-1350_1024x10244471.jpg	(from https://sunsecrets.no/products/cannes-bikini-striper)
14:53:50	0/-1	---M--	302	error ('')			https://sunsecrets.no/checkouts/cn/c1-feb31c75a8ef91ec940c0144bf4812a8	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/checkouts/cn/c1-feb31c75a8ef91ec940c0144bf4812a8.44e.delayed	(from https://sunsecrets.no/collections/rainbow-collection/products/rainbow-bikini-army-green)
14:53:51	55052/55052	URF---	200	added ('OK%20(cached)')	image/jpeg		https://sunsecrets.no/cdn/shop/files/valeria-01-mo-naco-branco.webp?v=1687983288	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/shop/files/valeria-01-mo-naco-brancoa070.jpg	(from https://sunsecrets.no/products/monaco-hvit)
